throughput,frame_nr,pkt_nr,n_elements
8,180,27671,128
8,180,27710,128
8,180,27748,6
8,181,27825,128
8,181,27863,128
8,181,27902,7
8,182,27978,128
8,182,28017,128
8,182,28056,12
8,183,28132,128
8,183,28171,128
8,183,28210,8
8,184,28286,128
8,184,28325,128
8,184,28363,9
8,185,28440,128
8,185,28478,128
8,185,28517,14
8,186,28593,128
8,186,28632,128
8,186,28671,16
8,187,28747,128
8,187,28786,128
8,187,28824,12
8,188,28901,128
8,188,28939,128
8,188,28978,8
8,189,29054,128
8,189,29093,128
8,189,29132,6
8,190,29208,128
8,190,29247,128
8,190,29285,9
8,191,29362,128
8,191,29401,128
8,191,29439,12
8,192,29516,128
8,192,29554,128
8,192,29593,6
8,193,29669,128
8,193,29708,128
8,193,29747,13
8,194,29823,128
8,194,29862,128
8,194,29900,7
8,195,29977,128
8,195,30015,128
8,195,30054,5
8,196,30130,128
8,196,30169,128
8,196,30208,8
8,197,30284,128
8,197,30323,128
8,197,30362,10
8,198,30438,128
8,198,30477,128
8,198,30515,11
8,199,30592,128
8,199,30630,128
8,199,30669,5
8,200,30745,128
8,200,30784,128
8,201,30898,128
8,201,30937,128
8,201,30975,13
8,202,31051,128
8,202,31090,128
8,202,31129,6
8,203,31205,128
8,203,31244,128
8,203,31283,8
8,204,31359,128
8,204,31398,128
8,204,31436,7
8,205,31513,128
8,205,31551,128
8,205,31590,15
8,206,31666,128
8,206,31705,128
8,206,31744,9
8,207,31820,128
8,207,31859,128
8,207,31897,7
8,208,31974,128
8,208,32012,128
8,209,32126,128
8,209,32165,128
8,209,32204,7
8,210,32280,128
8,210,32319,128
8,210,32358,7
8,211,32434,128
8,211,32473,128
8,211,32511,6
8,212,32588,128
8,212,32626,128
8,212,32665,8
8,213,32741,128
8,213,32780,128
8,213,32819,10
8,214,32895,128
8,214,32934,128
8,214,32972,9
8,215,33049,128
8,215,33087,128
8,215,33126,10
8,216,33202,128
8,216,33241,128
8,216,33280,9
8,217,33356,128
8,217,33395,128
8,217,33433,11
8,218,33510,128
8,218,33549,128
8,218,33587,9
8,219,33663,128
8,219,33702,128
8,219,33741,14
8,220,33817,128
8,220,33856,128
8,220,33895,7
8,221,33971,128
8,221,34010,128
8,221,34048,8
8,222,34125,128
8,222,34164,128
8,222,34202,8
8,223,34278,128
8,223,34317,128
8,223,34356,10
8,224,34432,128
8,224,34471,128
8,224,34510,5
8,225,34586,128
8,225,34625,128
8,225,34663,8
8,226,34739,128
8,226,34778,128
8,226,34817,8
8,227,34893,128
8,227,34932,128
8,227,34970,7
8,228,35047,128
8,228,35086,128
8,228,35124,11
8,229,35200,128
8,229,35239,128
8,229,35278,11
8,230,35354,128
8,230,35393,128
8,230,35432,9
8,231,35508,128
8,231,35547,128
8,231,35585,10
8,232,35662,128
8,232,35700,128
8,232,35739,11
8,233,35815,128
8,233,35854,128
8,233,35893,12
8,234,35969,128
8,234,36008,128
8,234,36047,6
8,235,36123,128
8,235,36162,128
8,235,36200,10
8,236,36277,128
8,236,36315,128
8,236,36354,12
8,237,36430,128
8,237,36469,128
8,237,36508,9
8,238,36584,128
8,238,36623,128
8,238,36661,6
8,239,36737,128
8,239,36776,128
8,239,36815,8
8,240,36891,128
8,240,36930,128
8,240,36969,7
8,241,37045,128
8,241,37084,128
8,241,37122,11
8,242,37199,128
8,242,37237,128
8,242,37276,15
8,243,37353,128
8,243,37391,128
8,243,37430,9
8,244,37506,128
8,244,37545,128
8,244,37584,10
8,245,37660,128
8,245,37699,128
8,245,37737,11
8,246,37813,128
8,246,37852,128
8,246,37891,10
8,247,37967,128
8,247,38006,128
8,247,38045,11
8,248,38121,128
8,248,38160,128
8,248,38198,6
8,249,38275,128
8,249,38313,128
8,249,38352,11
8,250,38428,128
8,250,38467,128
8,250,38506,6
8,251,38582,128
8,251,38621,128
8,251,38659,6
8,252,38736,128
8,252,38775,128
8,252,38813,7
8,253,38889,128
8,253,38928,128
8,254,39042,128
8,254,39081,128
8,254,39120,7
8,255,39196,128
8,255,39235,128
8,255,39273,7
8,256,39349,128
8,256,39388,128
8,256,39427,14
8,257,39503,128
8,257,39542,128
8,257,39581,12
8,258,39657,128
8,258,39696,128
8,258,39734,7
8,259,39811,128
