frame,mean error,min,max
45,15.156226035617237,0.0,144.5
234,14.902985051530685,0.0,92.0
367,16.81804878398593,0.0,143.4
284,15.090816853793555,0.0,75.0
110,15.068150381878999,0.0,82.57396449704142
339,15.078378640157727,0.0,124.0
29,15.544849907143128,0.0,160.4
187,15.766755232474924,0.0,93.6
15,16.0056019827968,0.0,112.2
341,15.73360661308134,0.0,83.0
225,15.405292912202452,0.0,108.0
175,15.409495264623777,0.0,92.8819374369324
287,16.119835445063288,0.0,163.33333333333334
32,15.428462509347884,0.0,111.25296442687747
200,16.819924067726838,0.0,125.0
1,16.45067089546356,0.0,138.8
48,14.811305611855717,0.0,100.0
454,14.953220511927665,0.0,86.0
373,15.050956820730343,0.0,95.0
521,15.422418971512796,0.0,128.4449950445986
254,14.536435491984912,0.0,97.0
133,15.370988463312608,0.0,123.33333333333333
215,16.062903379374458,0.0,113.0
303,16.17347496118207,0.0,167.1058394160584
88,15.922676922517969,0.0,133.08029197080293
262,15.254513139768116,0.0,118.5
394,15.645279699079236,0.0,136.0
266,16.461794182049992,0.0,175.05555555555554
432,15.340069237709677,0.0,85.0
331,15.511054208725358,0.0,123.0
362,16.545134640861278,0.0,155.0
476,15.529310613005455,0.0,90.5
202,16.277904414660224,0.0,100.5
161,15.936699769131078,0.0,204.06666666666666
242,16.030348526321607,0.0,126.6
146,16.607588778446292,0.0,227.4
355,15.510183855999903,0.0,90.0
510,15.4152866012733,0.0,106.3941605839416
435,17.34264885428574,0.0,90.5
260,15.592757822542994,0.0,89.75
210,15.30110770622857,0.0,102.97058823529412
256,15.452158401759077,0.0,189.2
21,15.453860582877304,0.0,125.0
320,16.939060369480192,0.0,183.0
388,16.37885798860215,0.0,94.0
268,16.280182846293247,0.0,97.4054054054054
501,15.528058615633904,0.0,85.0
80,15.24023355656497,0.0,79.10332103321034
398,15.990133486912073,0.0,94.199203187251
471,15.844017101278425,0.0,113.92363636363636
240,14.574160816989187,0.0,68.0
143,15.80511956756223,0.0,93.0
257,14.818565335740262,0.0,78.0
56,14.95337671635521,0.0,114.0
507,15.889506457567695,0.0,126.0
11,16.20572111753389,0.0,170.00757575757575
164,16.325535952170952,0.0,86.0
236,14.860697112900958,0.0,102.0
223,14.544265810138112,0.0,136.09963099630997
180,16.123919921789902,0.0,190.0
18,15.717304192689191,0.0,108.98947368421052
41,14.242974728596073,0.0,109.0
238,15.632624386784869,0.0,128.8
208,16.42057468294847,0.0,133.0
326,15.790685952119698,0.0,148.0
63,16.845055719273855,0.0,159.73180076628353
520,16.66797555816506,0.0,91.0
53,15.799579542129226,0.0,120.0
502,14.946958071375594,0.0,95.0
222,15.450273572545884,0.0,93.21635094715852
503,15.264058111370584,0.0,118.0
378,15.384900026883574,0.0,75.0
46,15.546404962755945,0.0,140.0
517,14.607023210384346,0.0,92.0
430,15.60333762722178,0.0,91.0
30,14.413286173941747,0.0,121.0
70,16.173378892852934,0.0,236.0
178,15.53480876584979,0.0,99.0
253,15.848441983926156,0.0,138.0
369,15.746182576592215,0.0,77.0
229,16.034773769551133,0.0,117.14285714285714
328,17.54861001568681,0.0,119.3842105263158
117,16.611079317284098,0.0,124.66666666666667
371,17.985627591724686,0.0,185.0
400,15.698244882677429,0.0,123.0
226,15.929590948745421,0.0,153.0
310,15.454440692372886,0.0,128.2
445,16.349509855628064,0.0,147.66666666666669
103,15.150598103080064,0.0,126.0
480,14.91180277055605,0.0,100.0
